time,lat,lon,depth,NO3_darwin_clim
2,-22.75,176.75,5,3.1976771
2,-22.75,177.25,5,3.1978347
2,-22.75,177.75,5,3.197823
2,-22.75,178.25,5,3.197642
2,-22.75,178.75,5,3.1977127
2,-22.75,179.25,5,3.1980345
2,-22.75,179.75,5,3.1985452
2,-22.25,176.75,5,3.217908
2,-22.25,177.25,5,3.2170591
2,-22.25,177.75,5,3.2161558
2,-22.25,178.25,5,3.2152007
2,-22.25,178.75,5,3.2147944
2,-22.25,179.25,5,3.2149367
2,-22.25,179.75,5,3.2158794
2,-21.75,176.75,5,3.236152
2,-21.75,177.25,5,3.234594
2,-21.75,177.75,5,3.2330048
2,-21.75,178.25,5,3.231384
2,-21.75,178.75,5,3.23042
2,-21.75,179.25,5,3.2301128
2,-21.75,179.75,5,3.231359
2,-21.25,176.75,5,3.2524128
2,-21.25,177.25,5,3.2504447
2,-21.25,177.75,5,3.2483706
2,-21.25,178.25,5,3.2461925
2,-21.25,178.75,5,3.2445905
2,-21.25,179.25,5,3.2435668
2,-21.25,179.75,5,3.2449872
2,-20.75,176.75,5,3.2665777
2,-20.75,177.25,5,3.2643507
2,-20.75,177.75,5,3.2620518
2,-20.75,178.25,5,3.259681
2,-20.75,178.75,5,3.2576928
2,-20.75,179.25,5,3.256087
2,-20.75,179.75,5,3.2578044
2,-20.25,176.75,5,3.279519
2,-20.25,177.25,5,3.2771218
2,-20.25,177.75,5,3.2747488
2,-20.25,178.25,5,3.2723982
2,-20.25,178.75,5,3.2701697
2,-20.25,179.25,5,3.2680612
2,-20.25,179.75,5,3.2701466
2,-19.75,176.75,5,3.291504
2,-19.75,177.25,5,3.2886603
2,-19.75,177.75,5,3.2861304
2,-19.75,178.25,5,3.2839162
2,-19.75,178.75,5,3.28186
2,-19.75,179.25,5,3.2799633
2,-19.75,179.75,5,3.2831397
2,-19.25,176.75,5,3.3031723
2,-19.25,177.25,5,3.299789
2,-19.25,177.75,5,3.2970767
2,-19.25,178.25,5,3.2950366
2,-19.25,178.75,5,3.2932913
2,-19.25,179.25,5,3.291842
2,-19.25,179.75,5,3.2963572
2,-18.75,176.75,5,3.3142357
2,-18.75,177.25,5,3.3081634
2,-18.75,177.75,5,3.3052123
2,-18.75,178.25,5,3.305386
2,-18.75,178.75,5,3.30511
2,-18.75,179.25,5,3.3043888
2,-18.75,179.75,5,3.3108087
2,-18.25,176.75,5,3.3251963
2,-18.25,177.25,5,3.316079
2,-18.25,177.75,5,3.3128846
2,-18.25,178.25,5,3.3156085
2,-18.25,178.75,5,3.3169954
2,-18.25,179.25,5,3.3170464
2,-18.25,179.75,5,3.3254797
2,-17.75,176.75,5,3.3388245
2,-17.75,177.25,5,3.324405
2,-17.75,177.75,5,3.3227224
2,-17.75,178.25,5,3.3352225
2,-17.75,178.75,5,3.3360941
2,-17.75,179.25,5,3.3300078
2,-17.75,179.75,5,3.3379111
2,-17.25,176.75,5,3.3572123
2,-17.25,177.25,5,3.3589435
2,-17.25,177.75,5,3.3636913
2,-17.25,178.25,5,3.362223
2,-17.25,178.75,5,3.3556988
2,-17.25,179.25,5,3.3428452
2,-17.25,179.75,5,3.350263
2,-16.75,176.75,5,3.373664
2,-16.75,177.25,5,3.3826053
2,-16.75,177.75,5,3.3898485
2,-16.75,178.25,5,3.3897538
2,-16.75,178.75,5,3.3826358
2,-16.75,179.25,5,3.3587778
2,-16.75,179.75,5,3.3713171
2,-16.25,176.75,5,3.3870966
2,-16.25,177.25,5,3.390787
2,-16.25,177.75,5,3.3986876
2,-16.25,178.25,5,3.4107952
2,-16.25,178.75,5,3.417939
2,-16.25,179.25,5,3.4253354
2,-16.25,179.75,5,3.450673
2,-15.75,176.75,5,3.4080706
2,-15.75,177.25,5,3.4132364
2,-15.75,177.75,5,3.4217427
